enhancer_id	factor_norm	signal_mean0_agg	factor_percentile	n_datasets	datasets_used	factor_rank	support_flag
CNE13	hand2	3.861565	0.5208333333333334	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	7.0	0
CNE13	p300	0.614118	0.9166666666666666	1	GSM348066_p300_wiggle	2.0	1
CNE13	pitx1	1.6317650000000001	0.625	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	5.5	0
CNE14_hs1586_mm1977	hand2	9.24709	0.9583333333333333	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	1.0	1
CNE14_hs1586_mm1977	p300	0.540661	0.8333333333333334	1	GSM348066_p300_wiggle	3.0	1
CNE14_hs1586_mm1977	pitx1	5.585345	1.0	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	1.0	1
CNE18	hand2	4.41	0.7916666666666666	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	3.0	1
CNE18	p300	0.857143	1.0	1	GSM348066_p300_wiggle	1.0	1
CNE18	pitx1	3.228575	0.9166666666666666	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	2.0	1
CNE19	hand2	0.0	0.020833333333333332	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	13.0	0
CNE19	p300	0.0277325	0.25	1	GSM348066_p300_wiggle	10.0	0
CNE19	pitx1	2.78385	0.8333333333333334	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	3.0	1
CNE21	hand2	0.35289899999999996	0.25	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	10.5	0
CNE21	p300	0.0	0.08333333333333333	1	GSM348066_p300_wiggle	12.0	0
CNE21	pitx1	1.639855	0.625	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	5.5	0
mm1179	hand2	0.030013195	0.125	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	12.0	0
mm1179	p300	0.0	0.08333333333333333	1	GSM348066_p300_wiggle	12.0	0
mm1179	pitx1	0.0	0.0	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	13.0	0
mm1859	hand2	0.918081	0.41666666666666663	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	9.0	0
mm1859	p300	0.173477	0.5	1	GSM348066_p300_wiggle	7.0	0
mm1859	pitx1	0.8194874999999999	0.375	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	8.5	0
mm1887	hand2	0.1007213	0.25	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	10.5	0
mm1887	p300	0.0	0.08333333333333333	1	GSM348066_p300_wiggle	12.0	0
mm1887	pitx1	0.0749954	0.08333333333333333	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	12.0	0
mm1889	hand2	0.868363	0.4166666666666667	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	8.0	0
mm1889	p300	0.297648	0.5833333333333334	1	GSM348066_p300_wiggle	6.0	0
mm1889	pitx1	1.3572899999999999	0.5	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	7.0	0
mm2018	hand2	2.4853300000000003	0.75	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	4.0	1
mm2018	p300	0.34532	0.6666666666666666	1	GSM348066_p300_wiggle	5.0	0
mm2018	pitx1	2.02245	0.75	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	4.0	1
mm2080	hand2	1.73008	0.5833333333333333	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	6.0	0
mm2080	p300	0.114286	0.4166666666666667	1	GSM348066_p300_wiggle	8.0	0
mm2080	pitx1	0.781524	0.25	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	10.0	0
mm2164	hand2	1.789765	0.5833333333333334	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	5.0	0
mm2164	p300	0.480427	0.75	1	GSM348066_p300_wiggle	4.0	1
mm2164	pitx1	1.0231305	0.375	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	8.5	0
mm2176	hand2	3.366785	0.8333333333333334	2	GSM1342121_HAND2_LIMB_3xF;GSM1342122_HAND2_LIMB_WT	2.0	1
mm2176	p300	0.109951	0.3333333333333333	1	GSM348066_p300_wiggle	9.0	0
mm2176	pitx1	0.5437055	0.16666666666666666	2	GSM1019784_hl1_pitx1_chip;GSM1019786_hl2_pitx1_chip	11.0	0
