enhancer_id	size	covered	sum	mean0	mean	dataset_label	genome_build_quant	quant_file	factor	source_db	series_accession	sample_accession	run_accession	assay_type	tissue	limb_type	dev_stage	genotype	replicate	control_accession	genome_build	file_type	download_url	preferred_use	reason_if_not_score	notes	rank_desc_mean0	percentile_rank
mm2080	5250	1650	11273.1	2.14726	6.83219	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		5.0	0.6666666666666666
mm2176	5457	2401	15915.0	2.91644	6.6285	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		3.0	0.8333333333333334
mm1859	5188	1900	7418.0	1.42984	3.90421	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		7.0	0.5
mm2164	5620	1433	10938.9	1.94643	7.6336	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		6.0	0.5833333333333334
mm1887	5267	900	241.0	0.0457566	0.267778	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		10.0	0.25
mm1179	1516	300	3.0	0.00197889	0.01	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		11.0	0.16666666666666666
mm1889	5399	1220	5706.6	1.05697	4.67754	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		8.0	0.4166666666666667
CNE14_hs1586_mm1977	1119	624	16024.8	14.3206	25.6807	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		1.0	1.0
mm2018	5256	1278	14875.8	2.83025	11.6399	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		4.0	0.75
CNE18	700	100	5000.0	7.14286	50.0	GSM1342121_HAND2_LIMB_3xF	mm9	GSM1342121_HAND2_LIMB_3xF.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342121		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF		GSM1342123	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 3xF weighted coverage WIG from GSE55707 RAW tar		2.0	0.9166666666666666
