enhancer_id	class	HOX13_sum_mean0	active_enhancer_score_H3K4me1_plus_H3K27ac	GLI3_mean0	PITX1_mean0_average_HL1_HL2
mm2074	non_limb	11.348	0.341	-0.012	1.618
mm2080	limb	3.279	0.152	-0.009	0.782
mm2175	non_limb	3.335	0.17	-0.016	1.08
mm2059	non_limb	4.581	0.132	-0.009	0.885
mm2308	non_limb	5.806	0.285	-0.042	1.255
mm2309	non_limb	7.032	0.363	-0.05	1.199
mm2176	limb	7.162	0.215	-0.012	0.544
mm2045	non_limb	3.972	0.188	-0.008	0.879
mm1947	non_limb	4.216	0.232	-0.004	1.789
mm1408	non_limb	108.51	1.258	0.063	4.781
mm1862	non_limb	7.312	0.403	-0.012	1.516
mm1859	limb	5.776	0.188	-0.006	0.819
mm2084	non_limb	8.712	0.652	-0.009	1.978
mm1969	non_limb	15.947	0.833	0.013	2.503
mm1824	non_limb	22.323	1.062	0.023	3.132
mm1873	non_limb	8.965	0.303	-0.015	0.923
mm2164	limb	9.302	0.361	-0.018	1.023
mm1874	non_limb	7.301	0.427	-0.015	1.09
mm1879	non_limb	7.127	0.193	-0.006	1.197
mm2169	non_limb	4.304	0.126	-0.013	0.868
mm1892	non_limb	6.494	0.276	-0.022	1.1
mm1893	non_limb	10.359	1.0	0.014	2.385
mm1410	non_limb	14.394	1.784	0.032	3.745
mm1896	non_limb	8.304	0.571	-0.012	2.173
mm1897	non_limb	5.432	0.629	0.005	1.813
mm1887	limb	0.435	0.009	-0.011	0.075
mm1179	limb	0.0	0.0	-0.014	0.0
mm1963	non_limb	15.311	1.204	0.002	2.445
mm1889	limb	6.781	0.494	-0.014	1.357
mm2192	non_limb	64.328	2.456	0.089	4.419
mm1902	non_limb	14.974	0.846	0.013	2.064
hs1213	non_limb	10.797	0.753	0.019	1.887
mm1911	non_limb	17.115	0.715	-0.008	1.929
mm2019	non_limb	38.043	1.982	0.041	2.836
hs111	non_limb	91.673	2.447	0.07	3.617
CNE14_hs1586_mm1977	limb	30.796	2.089	0.104	5.585
mm1912	non_limb	8.684	0.937	0.002	1.634
mm2018	limb	8.754	0.674	-0.006	2.022
mm1915	non_limb	7.804	0.629	-0.016	2.024
mm1916	non_limb	6.775	0.613	-0.009	1.874
mm1917	non_limb	12.055	0.747	0.041	3.724
mm1443	non_limb	16.961	1.003	0.073	5.308
CNE18	limb	18.031	0.938	0.028	3.229
mm1923	non_limb	10.095	0.781	0.069	2.115
CNE19	limb	18.953	0.977	0.277	2.784
CNE21	limb	9.681	0.446	0.025	1.64
mm2171	non_limb	11.177	1.078	0.046	4.569
mm652	non_limb	26.162	2.042	0.232	18.269
CNE13	limb	10.28	0.377	-0.007	1.632
mm2028	non_limb	11.337	0.674	-0.008	1.873
mm1935	non_limb	10.616	0.388	-0.018	1.759
mm1940	non_limb	8.414	0.57	-0.016	1.54
mm1941	non_limb	10.146	0.419	0.007	1.615
mm1827	non_limb	38.161	1.381	0.099	5.583
