#'chr'	'start'	'end'	'GLI3_log2'
chr13	14718760	14724010	-0.005234358215744877
chr13	14840677	14846134	-0.013409415616710631
chr13	15171260	15176448	-0.0026628050778813766
chr13	15221300	15226920	-0.018636618945766695
chr13	15433884	15439151	-0.007137028693988399
chr13	15434539	15436055	-0.015085889487455454
chr13	15446547	15451946	-0.0053856027883585345
chr13	15549343	15550462	0.09454595090947338
chr13	15561789	15567045	0.0024130362313706235
chr13	15610488	15611188	0.028168899112705342
chr13	15620962	15621575	0.27747222086563583
chr13	15658220	15658910	0.025396948668682286
chr13	15706515	15706940	-0.006599323495345957
